building_id,boundaries_xMin,boundaries_yMin,boundaries_xMax,boundaries_yMax,boundaries_zMax,boundaries_zMin
393.0,1386.62,877.839,1402.79,898.022,0.0,6.0
394.0,1393.09,887.978,1412.28,907.294,0.0,6.0
395.0,1426.58,896.317,1440.89,910.615,0.0,6.0
396.0,1410.3,899.883,1433.09,922.065,0.0,6.0
397.0,1399.2,907.947,1423.63,934.475,0.0,6.0
398.0,2331.13,835.58,2361.38,855.066,0.0,6.0
399.0,2324.36,780.773,2408.01,848.161,0.0,6.0
400.0,1712.57,1970.39,1727.3,1983.93,0.0,6.0
401.0,1823.7,2333.77,1849.96,2349.15,0.0,6.0
402.0,1811.68,2288.25,1851.1,2328.83,0.0,6.0
403.0,2064.36,1381.62,2078.79,1396.05,0.0,6.0
404.0,1910.53,954.849,1946.76,993.312,0.0,6.0
405.0,1895.6,997.11,1917.82,1016.74,0.0,6.0
406.0,1914.82,1009.51,1937.31,1029.2,0.0,6.0
407.0,1875.71,1025.03,1923.27,1089.05,0.0,6.0
408.0,1842.31,1073.36,1883.2,1104.8,0.0,6.0
409.0,1821.45,1106.36,1861.35,1136.87,0.0,6.0
410.0,1898.22,1088.88,1949.88,1146.36,0.0,6.0
411.0,1452.37,1543.69,1462.88,1624.12,0.0,6.0
412.0,2042.15,1070.37,2096.72,1141.43,0.0,6.0
413.0,2021.49,1090.44,2055.9,1128.89,0.0,6.0
414.0,2010.39,1140.85,2035.27,1165.9,0.0,6.0
415.0,1990.45,1157.61,2032.26,1190.87,0.0,6.0
416.0,2069.3,1032.26,2114.71,1068.67,0.0,6.0
417.0,1830.29,2034.6,1870.66,2075.14,0.0,6.0
418.0,1610.46,2046.77,1638.43,2079.05,0.0,6.0
419.0,1775.9,1823.38,1795.15,1838.29,0.0,6.0
420.0,530.756,915.087,550.813,932.563,0.0,6.0
421.0,415.356,1543.25,437.118,1564.85,0.0,6.0
422.0,735.717,1173.99,757.306,1196.19,0.0,6.0
423.0,1181.12,1531.55,1217.86,1568.36,0.0,6.0
424.0,4176.3,22.3935,4261.13,57.5468,0.0,6.0
425.0,3371.25,142.335,3385.66,152.6,0.0,6.0
426.0,3635.87,9.4195,3688.14,26.7886,0.0,6.0
427.0,1095.64,2212.21,1107.97,2224.01,0.0,6.0
428.0,977.216,2587.44,985.882,2594.58,0.0,6.0
429.0,1103.0,1552.77,1136.93,1587.22,0.0,6.0
430.0,769.561,1100.49,784.537,1116.56,0.0,6.0
431.0,1128.51,1053.3,1153.42,1075.43,0.0,6.0
432.0,2392.48,1867.53,2418.99,1878.17,0.0,6.0
433.0,2423.01,1869.0,2450.17,1879.74,0.0,6.0
434.0,1480.83,1368.35,1504.1,1391.34,0.0,6.0
435.0,1490.67,1359.79,1513.15,1380.08,0.0,6.0
436.0,1501.0,1349.15,1526.66,1370.78,0.0,6.0
437.0,1518.56,1316.08,1541.54,1344.31,0.0,6.0
438.0,468.183,820.665,490.66,842.096,0.0,6.0
439.0,192.847,1149.56,240.395,1184.85,0.0,6.0
440.0,95.1335,1072.68,123.928,1105.4,0.0,6.0
441.0,138.606,1114.77,165.319,1145.23,0.0,6.0
